 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
320,Image_14482-1.jpg (red),16.012,16.129,0.774,6.334,1142,469,58.392,3.734,1.813,0.552,0.842
321,Image_14482-1.jpg (red),69.386,39.039,0.572,13.699,885,485,54.866,8.299,1.558,0.642,0.804
322,Image_14482-1.jpg (red),17.217,18.233,0.651,8.236,992,457,130.914,2.934,3.016,0.332,0.855
323,Image_14482-1.jpg (red),11.191,12.608,0.885,4.731,425,458,127.875,3.674,1.289,0.776,0.884
324,Image_14482-1.jpg (red),40.633,27.705,0.665,10.104,869,458,109.179,7.198,1.372,0.729,0.811
325,Image_14482-1.jpg (red),42.010,29.223,0.618,12.119,852,460,128.047,5.738,2.404,0.416,0.837
326,Image_14482-1.jpg (red),75.756,36.105,0.730,13.180,927,488,61.821,8.911,1.317,0.760,0.885
327,Image_14482-1.jpg (red),26.343,21.594,0.710,8.299,1110,460,126.870,4.838,1.682,0.595,0.877
328,Image_14482-1.jpg (red),18.939,18.962,0.662,7.829,793,462,147.995,3.759,2.433,0.411,0.800
329,Image_14482-1.jpg (red),22.899,19.205,0.780,7.066,1156,463,139.764,5.032,1.537,0.651,0.884
330,Image_14482-1.jpg (red),28.409,23.070,0.671,8.057,489,484,78.111,5.872,1.338,0.747,0.793
331,Image_14482-1.jpg (red),17.734,17.302,0.744,6.442,1012,480,75.069,4.564,1.411,0.709,0.834
332,Image_14482-1.jpg (red),120.005,48.629,0.638,16.331,430,490,27.216,9.329,1.728,0.579,0.902
333,Image_14482-1.jpg (red),50.791,28.049,0.811,10.473,746,467,123.690,7.516,1.495,0.669,0.905
334,Image_14482-1.jpg (red),14.979,17.101,0.644,7.258,807,481,59.036,3.302,2.723,0.367,0.817
335,Image_14482-1.jpg (red),11.708,14.854,0.667,5.764,1045,466,120.256,3.734,1.606,0.623,0.800
336,Image_14482-1.jpg (red),20.144,16.715,0.906,6.168,1129,470,160.346,4.979,1.185,0.844,0.907
337,Image_14482-1.jpg (red),19.456,17.059,0.840,6.691,1151,468,119.745,4.108,1.622,0.617,0.886
338,Image_14482-1.jpg (red),32.713,28.250,0.515,9.713,627,486,19.983,6.857,1.384,0.723,0.741
339,Image_14482-1.jpg (red),53.546,28.938,0.804,10.172,695,493,78.232,7.711,1.102,0.908,0.889
340,Image_14482-1.jpg (red),45.626,26.247,0.832,9.580,727,469,107.650,6.834,1.414,0.707,0.903
341,Image_14482-1.jpg (red),10.503,13.538,0.720,5.065,667,470,124.992,3.547,1.486,0.673,0.836
342,Image_14482-1.jpg (red),19.456,19.104,0.670,7.480,1023,471,109.440,4.031,2.083,0.480,0.853
343,Image_14482-1.jpg (red),91.424,42.073,0.649,14.380,819,472,133.831,9.959,1.330,0.752,0.850
344,Image_14482-1.jpg (red),24.965,23.556,0.565,9.722,1079,473,129.806,4.172,2.938,0.340,0.744
345,Image_14482-1.jpg (red),17.734,15.927,0.878,6.126,479,475,118.301,3.734,1.611,0.621,0.932
346,Image_14482-1.jpg (red),19.628,19.448,0.652,6.320,1042,488,66.801,5.394,1.123,0.890,0.797
347,Image_14482-1.jpg (red),39.256,25.174,0.778,8.664,777,496,73.301,6.748,1.106,0.904,0.854
348,Image_14482-1.jpg (red),24.793,20.136,0.768,7.572,950,480,170.538,4.825,1.559,0.641,0.847
349,Image_14482-1.jpg (red),19.283,17.788,0.766,7.066,975,477,139.764,4.323,1.733,0.577,0.868
350,Image_14482-1.jpg (red),21.005,20.907,0.604,8.014,795,477,111.251,3.734,2.457,0.407,0.853
351,Image_14482-1.jpg (red),52.685,29.223,0.775,10.636,1065,501,69.444,7.022,1.617,0.618,0.896
352,Image_14482-1.jpg (red),37.878,25.073,0.757,8.802,607,478,98.130,6.760,1.291,0.775,0.851
353,Image_14482-1.jpg (red),18.078,17.000,0.786,6.334,852,480,121.608,4.149,1.277,0.783,0.897
354,Image_14482-1.jpg (red),28.925,26.490,0.518,8.634,1101,483,144.782,5.360,1.648,0.607,0.781
355,Image_14482-1.jpg (red),72.141,42.862,0.493,14.570,399,515,70.017,8.261,1.918,0.521,0.748
356,Image_14482-1.jpg (red),21.349,20.236,0.655,6.704,869,491,21.801,4.988,1.228,0.814,0.846
357,Image_14482-1.jpg (red),31.680,25.073,0.633,9.722,564,501,50.194,4.906,2.348,0.426,0.780
358,Image_14482-1.jpg (red),61.638,31.309,0.790,12.062,654,485,139.185,8.299,1.377,0.726,0.907
359,Image_14482-1.jpg (red),12.052,12.851,0.917,4.839,489,492,30.964,3.320,1.269,0.788,0.946
360,Image_14482-1.jpg (red),33.746,24.486,0.707,8.350,1014,498,26.565,7.054,1.161,0.861,0.818
361,Image_14482-1.jpg (red),42.871,32.844,0.499,12.434,639,486,115.710,4.901,2.703,0.370,0.840
362,Image_14482-1.jpg (red),32.713,26.532,0.584,10.373,972,486,106.260,5.394,2.272,0.440,0.824
363,Image_14482-1.jpg (red),14.290,14.125,0.900,5.249,1034,486,108.435,4.149,1.185,0.844,0.883
364,Image_14482-1.jpg (red),10.675,12.507,0.858,4.731,592,487,127.875,3.734,1.209,0.827,0.886
365,Image_14482-1.jpg (red),159.260,53.851,0.690,17.259,1114,503,170.311,13.152,1.186,0.843,0.898
366,Image_14482-1.jpg (red),13.430,13.195,0.969,4.857,940,489,109.983,3.734,1.264,0.791,0.929
