 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
779,Image_14119-3.tif,16.951,17.355,0.707,5.881,173,610,39.289,4.774,1.233,0.811,0.818
780,Image_14119-3.tif,14.383,14.329,0.88,6.025,652,600,105.945,3.31,1.727,0.579,0.913
781,Image_14119-3.tif,20.376,19.737,0.657,7.807,597,601,122.005,4.389,2.062,0.485,0.815
782,Image_14119-3.tif,15.068,15.984,0.741,6.303,68,605,156.801,4.138,1.407,0.711,0.842
783,Image_14119-3.tif,10.445,11.645,0.968,4.399,351,605,138.814,3.31,1.087,0.92,0.931
784,Image_14119-3.tif,28.937,23.006,0.687,7.959,201,605,98.973,5.834,1.366,0.732,0.816
785,Image_14119-3.tif,17.465,18.667,0.63,6.316,296,606,148.392,4.966,1.288,0.777,0.767
786,Image_14119-3.tif,16.266,15.399,0.862,5.925,551,613,24.775,4.014,1.475,0.678,0.88
787,Image_14119-3.tif,12.328,15.842,0.617,5.749,609,605,149.744,4.071,1.27,0.787,0.778
788,Image_14119-3.tif,21.917,17.982,0.852,6.787,92,619,37.569,4.972,1.429,0.7,0.892
789,Image_14119-3.tif,41.436,27.328,0.697,10.22,139,619,21.371,5.793,1.867,0.536,0.908
790,Image_14119-3.tif,82.188,41.514,0.599,13.611,387,612,160.463,10.122,1.396,0.716,0.811
791,Image_14119-3.tif,39.382,25.631,0.753,9.16,519,611,161.565,6.323,1.476,0.678,0.883
792,Image_14119-3.tif,18.492,17.054,0.799,6.672,163,609,150.255,4.552,1.549,0.646,0.882
793,Image_14119-3.tif,136.98,59.88,0.48,18.908,224,649,66.801,11.688,1.782,0.561,0.832
794,Image_14119-3.tif,15.41,16.527,0.709,5.763,443,611,158.962,3.804,1.56,0.641,0.845
795,Image_14119-3.tif,20.547,24.762,0.421,9.553,261,614,162.35,4.011,3.078,0.325,0.723
796,Image_14119-3.tif,19.348,17.539,0.79,6.543,500,610,161.565,4.138,1.704,0.587,0.876
797,Image_14119-3.tif,12.671,13.743,0.843,5.118,662,609,165.964,3.31,1.36,0.735,0.892
798,Image_14119-3.tif,79.277,48.336,0.426,17.677,85,609,106.314,8.276,2.027,0.493,0.733
799,Image_14119-3.tif,19.348,19.637,0.631,6.672,212,618,29.745,4.604,1.26,0.794,0.84
800,Image_14119-3.tif,24.999,21.15,0.702,7.992,427,613,111.251,4.897,1.576,0.634,0.832
801,Image_14119-3.tif,27.053,25.146,0.538,8.379,463,630,57.095,6.455,1.227,0.815,0.749
802,Image_14119-3.tif,11.643,13.259,0.832,5.552,307,616,153.435,3.328,1.781,0.562,0.872
803,Image_14119-3.tif,23.458,21.493,0.638,8.531,352,615,140.906,4.722,1.923,0.52,0.778
804,Image_14119-3.tif,13.527,17.497,0.555,6.151,246,620,19.654,3.724,1.213,0.824,0.778
805,Image_14119-3.tif,38.868,29.083,0.577,10.102,543,631,34.992,6.749,1.734,0.577,0.753
806,Image_14119-3.tif,11.13,14.471,0.668,5.763,661,618,158.962,2.897,2.365,0.423,0.828
807,Image_14119-3.tif,18.835,25.004,0.379,6.685,64,622,158.199,5.19,1.23,0.813,0.733
808,Image_14119-3.tif,13.698,17.255,0.578,5.749,582,619,120.256,3.914,1.675,0.597,0.758
809,Image_14119-3.tif,19.006,18.325,0.711,6.316,716,623,148.392,4.831,1.123,0.891,0.835
810,Image_14119-3.tif,184.751,59.956,0.646,20.314,597,665,56.634,13.237,1.444,0.693,0.855
811,Image_14119-3.tif,12.842,15.741,0.651,6.543,112,622,124.695,3.051,2.383,0.42,0.829
812,Image_14119-3.tif,12.671,15.056,0.702,5.234,576,621,108.435,3.724,1.394,0.717,0.841
813,Image_14119-3.tif,10.445,12.23,0.877,4.399,499,623,131.186,3.724,1.154,0.867,0.884
814,Image_14119-3.tif,14.04,16.084,0.682,5.925,368,636,65.225,4.096,1.626,0.615,0.774
815,Image_14119-3.tif,21.917,17.154,0.936,6.11,166,626,151.699,5.267,1.118,0.895,0.918
816,Image_14119-3.tif,11.986,13.058,0.883,5.051,252,631,34.992,3.402,1.427,0.701,0.915
817,Image_14119-3.tif,11.814,14.571,0.699,5.185,299,627,151.39,4.02,1.345,0.744,0.802
818,Image_14119-3.tif,10.445,12.473,0.844,4.476,311,633,56.31,3.31,1.344,0.744,0.878
819,Image_14119-3.tif,13.184,14.571,0.78,5.395,145,627,122.471,3.724,1.41,0.709,0.875
820,Image_14119-3.tif,23.287,21.192,0.652,7.63,519,629,130.601,4.367,1.677,0.596,0.85
821,Image_14119-3.tif,42.635,31.382,0.544,10.017,690,627,128.29,6.916,1.409,0.71,0.86
822,Image_14119-3.tif,17.807,17.397,0.739,6.151,203,639,42.274,4.552,1.112,0.899,0.86
823,Image_14119-3.tif,17.465,19.779,0.561,7.774,512,628,115.201,3.814,2.231,0.448,0.756
824,Image_14119-3.tif,38.525,28.799,0.584,9.253,558,639,10.305,6.9,1.271,0.787,0.748
825,Image_14119-3.tif,43.662,31.625,0.549,11.527,441,629,111.038,8.027,1.646,0.608,0.752
826,Image_14119-3.tif,16.78,15.883,0.836,5.628,155,631,126.027,4.138,1.298,0.77,0.925
827,Image_14119-3.tif,17.465,15.883,0.87,5.968,187,631,123.69,3.724,1.571,0.636,0.915
828,Image_14119-3.tif,34.074,27.186,0.579,10.932,456,631,119.476,4.398,2.487,0.402,0.858
829,Image_14119-3.tif,12.157,17.397,0.505,6.151,361,631,109.654,4.406,1.648,0.607,0.673
